Date,Amount,Category,Description
2025-07-01,250,Food,Lunch at cafe
2025-07-02,100,Transport,Bus fare
2025-07-03,500,Entertainment,Concert tickets
2025-07-04,300,Utilities,Electricity bill
2025-07-05,150,Food,Evening snacks
2025-07-06,120,Transport,Train ticket
2025-07-07,60,Food,Breakfast
2025-07-08,180,Entertainment,Movie night
2025-07-09,400,Utilities,Water bill
2025-07-10,350,Food,Dinner out
2025-07-11,90,Shopping,Clothing
2025-07-12,230,Food,Groceries
2025-07-13,270,Transport,Auto fare
2025-07-14,130,Entertainment,Stand-up show
2025-07-15,500,Utilities,Internet bill
2025-07-16,220,Food,Coffee
2025-07-17,310,Transport,Cab ride
2025-07-18,75,Entertainment,Theme park
2025-07-19,95,Food,Juice bar
2025-07-20,280,Shopping,Online shopping
2025-07-21,190,Utilities,Gas bill
2025-07-22,410,Food,Pizza night
2025-07-23,360,Transport,Fuel refill
2025-07-24,150,Entertainment,Theatre play
2025-07-25,125,Utilities,Mobile recharge
